congress,bill_id_clean,predicted_category
116,s3637,Technology
116,s3744,Technology
116,s3703,Technology
116,hr7010,Technology
116,s3758,Technology
116,hr7105,Technology
116,hr7088,Technology
116,s3989,Technology
116,hr7259,Technology
116,s4116,Technology
116,s4091,Technology
116,s4072,Technology
116,s4075,Technology
116,hr7347,Technology
116,hr7440,Technology
116,s4148,Technology
116,s4209,Technology
116,s4126,Technology
116,hr7460,Technology
116,hr7502,Technology
116,hr7810,Technology
116,hr7898,Technology
116,hr8247,Technology
116,hr8337,Technology
116,hr8276,Technology
116,hr8354,Technology
116,s4762,Technology
116,s4684,Technology
116,hr8472,Technology
116,hr8611,Technology
116,s4902,Technology
116,hr8810,Technology
116,hr8900,Technology
116,s5036,Technology
116,hr8906,Technology
116,s4996,Technology
116,hjres107,Healthcare
116,hjres110,Healthcare
116,s5076,Technology
117,hr49,Technology
117,hr26,Technology
117,hr208,Technology
117,hr189,Technology
117,hr55,Technology
117,hr91,Technology
117,hr92,Technology
117,hr203,Technology
117,hr335,Technology
117,hr264,Technology
117,hr390,Technology
117,hr228,Technology
117,hr310,Technology
117,s108,Technology
117,s66,Technology
117,hr468,Technology
117,hr441,Technology
117,hr478,Technology
117,s164,Technology
117,s144,Technology
117,s169,Technology
117,hr521,Technology
117,hr711,Technology
117,hr772,Technology
117,s189,Technology
117,hr735,Technology
117,hr767,Technology
117,hr700,Technology
117,s198,Technology
117,hr941,Technology
117,s272,Technology
117,hr960,Technology
117,s233,Technology
117,s270,Technology
117,s231,Technology
117,hr897,Technology
117,hr1002,Technology
117,s325,Technology
117,s321,Technology
117,hr1170,Technology
117,hr1057,Technology
117,s314,Technology
117,hr1095,Technology
117,hr1082,Technology
117,hr1154,Technology
117,s415,Technology
117,s422,Technology
117,s409,Technology
117,hr1192,Technology
117,s400,Technology
117,hr1298,Technology
117,hr1193,Technology
117,hr1319,Technology
117,hjres27,Healthcare
117,s452,Technology
117,hr1281,Technology
117,s497,Technology
117,hr1444,Technology
117,s442,Technology
117,s516,Technology
117,hr1437,Technology
117,s450,Technology
117,s579,Technology
117,hr1448,Technology
117,hr1510,Technology
117,s566,Technology
117,s583,Technology
117,s558,Technology
117,hr1651,Technology
117,hr1652,Technology
117,s610,Technology
117,hr1664,Technology
117,hr1667,Technology
117,hr1799,Technology
117,hr1868,Technology
117,s658,Technology
117,hr1842,Technology
117,hr1766,Technology
117,hr1899,Technology
117,s796,Technology
117,s854,Technology
117,s812,Technology
117,s789,Technology
117,hr1917,Technology
117,s937,Technology
117,s848,Technology
117,s921,Technology
117,hr2093,Technology
117,s894,Technology
117,hr2044,Technology
117,sjres15,Technology
117,sjres14,Technology
117,s957,Technology
117,s1064,Technology
117,s1031,Technology
117,hr2142,Technology
117,s958,Technology
117,hr2220,Technology
117,s989,Technology
117,hr2278,Technology
117,hr2324,Technology
117,hr2523,Technology
117,hr2441,Technology
117,s1095,Technology
117,hr2545,Technology
117,hr2471,Technology
117,hr2497,Technology
117,s1097,Technology
117,s1098,Technology
117,s1198,Technology
117,hr2473,Technology
117,hr2472,Technology
117,s1226,Technology
117,hr2617,Technology
117,s1340,Technology
117,s1301,Technology
117,hr2724,Technology
117,s1294,Technology
117,s1502,Technology
117,s1404,Technology
117,s1402,Technology
117,s1511,Technology
117,hr2911,Technology
117,hr2992,Technology
117,hr2930,Technology
117,s1466,Technology
117,s1605,Technology
117,s1543,Technology
117,hr3076,Technology
117,hr3113,Technology
117,s1617,Technology
117,s1541,Technology
117,hr3237,Technology
117,hr3210,Technology
117,s1662,Technology
117,hr3197,Technology
117,hr3182,Technology
117,hr3175,Technology
117,hr3285,Technology
117,s1687,Technology
117,hr3325,Technology
117,hr3419,Technology
117,s1760,Technology
117,hr3359,Technology
117,hr3462,Technology
117,s1910,Technology
117,s1828,Technology
117,s1917,Technology
117,hr3475,Technology
117,hr3537,Technology
117,s1872,Technology
117,hr3525,Technology
117,hr3508,Technology
117,hr3539,Technology
117,hr3642,Technology
117,hr3665,Technology
117,hr3579,Technology
117,hr3613,Technology
117,s1941,Technology
117,s1942,Technology
117,hr3919,Technology
117,s2126,Technology
117,s2102,Technology
117,s2089,Technology
117,s2201,Technology
117,s2293,Technology
117,s2159,Technology
117,hr4172,Technology
117,hr4168,Technology
117,hr4250,Technology
117,hr4426,Technology
117,hr4346,Technology
117,hr4373,Technology
117,s2333,Technology
117,hr4445,Technology
117,hr4591,Technology
117,hr4660,Technology
117,s2514,Technology
117,s2490,Technology
117,hr4693,Technology
117,hr4622,Technology
117,s2533,Technology
117,s2520,Technology
117,hr4877,Technology
117,s2551,Technology
117,hr4899,Technology
117,hr4881,Technology
117,s2629,Technology
117,s2607,Technology
117,hr5085,Technology
117,hr5142,Technology
117,s2687,Technology
117,hr5293,Technology
117,hr5271,Technology
117,hr5305,Technology
117,hr5313,Technology
117,hr5376,Technology
117,s2771,Technology
117,s2794,Technology
117,s2796,Technology
117,hr5349,Technology
117,s2834,Technology
117,hr5434,Technology
117,s2959,Technology
117,s2938,Technology
117,hr5481,Technology
117,s2899,Technology
117,hr5545,Technology
117,hr5577,Technology
117,s2991,Technology
117,hr5650,Technology
117,hr5681,Technology
117,s3059,Technology
117,hr5754,Technology
117,s3103,Technology
117,s3092,Technology
117,s3115,Technology
117,hr5659,Technology
117,hr5763,Technology
117,hr5809,Technology
117,s3157,Technology
117,hr5796,Technology
117,hr5794,Technology
117,hr5865,Technology
117,hr5900,Technology
117,s3168,Technology
117,hr5943,Technology
117,hr5952,Technology
117,hr5961,Technology
117,hr5973,Technology
117,hr6119,Technology
117,s3294,Technology
117,hr6023,Technology
117,hr6042,Technology
117,hr6064,Technology
117,hr6080,Technology
117,s3308,Technology
117,sjres33,Technology
117,s3377,Technology
117,hr6256,Technology
117,s3373,Technology
117,s3369,Technology
117,hr6221,Technology
117,hr6218,Technology
117,hr6220,Technology
117,hr6267,Technology
117,s3405,Technology
117,s3522,Technology
117,s3527,Technology
117,s3451,Technology
117,s3470,Technology
117,s3510,Technology
117,s3499,Technology
117,hr6386,Technology
117,s3519,Technology
117,s3580,Technology
117,hr6427,Technology
117,hr6617,Technology
117,hr6614,Technology
117,hr6604,Technology
117,hr6630,Technology
117,hr6833,Technology
117,s3655,Technology
117,hr6722,Technology
117,s3662,Technology
117,hr6968,Technology
117,hr6943,Technology
117,hr6899,Technology
117,hr6863,Technology
117,hr6917,Technology
117,hr6961,Technology
117,s3773,Technology
117,s3823,Technology
117,s3826,Technology
117,s3825,Technology
117,hr7077,Technology
117,s3875,Technology
117,s3846,Technology
117,hr7108,Technology
117,s3895,Technology
117,s3884,Technology
117,hr7132,Technology
117,hr7181,Technology
117,s3905,Technology
117,hr7334,Technology
117,hr7352,Technology
117,s3969,Technology
117,hr7299,Technology
117,hr7335,Technology
117,s4003,Technology
117,s3949,Technology
117,hr7500,Technology
117,s4017,Technology
117,s4052,Technology
117,hr7514,Technology
117,hr7518,Technology
117,hr7519,Technology
117,s4089,Technology
117,s4119,Technology
117,hr7535,Technology
117,hr7638,Technology
117,s4104,Technology
117,s4120,Technology
117,hr7691,Technology
117,s4160,Technology
117,hr7698,Technology
117,s4205,Technology
117,hr7735,Technology
117,hr7791,Technology
117,hr7846,Technology
117,hr7776,Technology
117,s4240,Technology
117,s4359,Technology
