member,bioguide_id,party,state,Immigration_total_score,Immigration_vote_totals,Immigration_mean_score,Immigration_final_score,Healthcare_total_score,Healthcare_vote_totals,Healthcare_mean_score,Healthcare_final_score,Taxes_spending_budget_total_score,Taxes_spending_budget_vote_totals,Taxes_spending_budget_mean_score,Taxes_spending_budget_final_score,Education_total_score,Education_vote_totals,Education_mean_score,Education_final_score,Climate_environment_total_score,Climate_environment_vote_totals,Climate_environment_mean_score,Climate_environment_final_score,Nominations_total_score,Nominations_vote_totals,Nominations_mean_score,Nominations_final_score,Entitlements_welfare_total_score,Entitlements_welfare_vote_totals,Entitlements_welfare_mean_score,Entitlements_welfare_final_score,Military_national_security_total_score,Military_national_security_vote_totals,Military_national_security_mean_score,Military_national_security_final_score,Technology_total_score,Technology_vote_totals,Technology_mean_score,Technology_final_score,Business_employment_total_score,Business_employment_vote_totals,Business_employment_mean_score,Business_employment_final_score,Miscellaneous_total_score,Miscellaneous_vote_totals,Miscellaneous_mean_score,Miscellaneous_final_score
Harder (CA),H001090,D,CA,0,12,0.0,-100.0,3,15,0.2,-60.0,1,11,0.090909,-81.8182,4,27,0.148148,-70.3704,1,11,0.090909,-81.8182,3,20,0.15,-70.0,0,20,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Harris,H001052,R,MD,12,12,1.0,100.0,15,15,1.0,100.0,11,11,1.0,100.0,23,25,0.92,84.0,9,11,0.818182,63.6364,20,20,1.0,100.0,22,22,1.0,100.0,24,24,1.0,100.0,26,26,1.0,100.0,8,10,0.8,60.0,21,21,1.0,100.0
Harshbarger,H001086,R,TN,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,17,17,1.0,100.0,21,21,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,10,10,1.0,100.0,20,20,1.0,100.0
Hartzler,H001053,R,MO,2,5,0.4,-20.0,4,6,0.666667,33.3333,6,6,1.0,100.0,4,6,0.666667,33.3333,7,7,1.0,100.0,6,6,1.0,100.0,8,9,0.888889,77.7778,8,11,0.727273,45.4545,12,19,0.631579,26.3158,9,9,1.0,100.0,6,6,1.0,100.0
Hayes,H001081,D,CT,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,3,20,0.15,-70.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,0,26,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Hern,H001082,R,OK,12,12,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,26,26,1.0,100.0,9,9,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,24,24,1.0,100.0,26,26,1.0,100.0,8,8,1.0,100.0,22,22,1.0,100.0
Herrell,H001084,R,NM,1,1,1.0,100.0,4,4,1.0,100.0,4,4,1.0,100.0,4,4,1.0,100.0,7,7,1.0,100.0,3,3,1.0,100.0,11,11,1.0,100.0,9,9,1.0,100.0,16,16,1.0,100.0,9,9,1.0,100.0,4,4,1.0,100.0
Herrera Beutler,H001056,R,WA,0,7,0.0,-100.0,2,6,0.333333,-33.3333,3,6,0.5,0.0,3,6,0.5,0.0,4,7,0.571429,14.2857,3,6,0.5,0.0,6,12,0.5,0.0,5,11,0.454545,-9.0909,11,16,0.6875,37.5,5,9,0.555556,11.1111,3,7,0.428571,-14.2857
Hice (GA),H001071,R,GA,7,7,1.0,100.0,6,6,1.0,100.0,6,6,1.0,100.0,6,6,1.0,100.0,7,7,1.0,100.0,6,6,1.0,100.0,12,12,1.0,100.0,11,11,1.0,100.0,18,18,1.0,100.0,9,9,1.0,100.0,5,5,1.0,100.0
Higgins (LA),H001077,R,LA,10,10,1.0,100.0,12,14,0.857143,71.4286,10,10,1.0,100.0,24,24,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,25,25,1.0,100.0,10,10,1.0,100.0,20,21,0.952381,90.4762
Higgins (NY),H001038,D,NY,0,10,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,8,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Hill,H001072,R,AR,9,12,0.75,50.0,13,15,0.866667,73.3333,10,12,0.833333,66.6667,26,27,0.962963,92.5926,9,11,0.818182,63.6364,18,19,0.947368,89.4737,19,20,0.95,90.0,21,24,0.875,75.0,19,26,0.730769,46.1538,10,10,1.0,100.0,21,23,0.913043,82.6087
Himes,H001047,D,CT,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,2,27,0.074074,-85.1852,2,11,0.181818,-63.6364,0,20,0.0,-100.0,0,22,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,4,23,0.173913,-65.2174
Hinson,H001091,R,IA,5,5,1.0,100.0,12,13,0.923077,84.6154,9,10,0.9,80.0,25,25,1.0,100.0,8,9,0.888889,77.7778,14,16,0.875,75.0,16,18,0.888889,77.7778,19,20,0.95,90.0,18,23,0.782609,56.5217,8,10,0.8,60.0,20,20,1.0,100.0
Hollingsworth,H001074,R,IN,5,7,0.714286,42.8571,4,6,0.666667,33.3333,5,5,1.0,100.0,4,5,0.8,60.0,5,7,0.714286,42.8571,6,6,1.0,100.0,9,10,0.9,80.0,6,6,1.0,100.0,19,19,1.0,100.0,5,9,0.555556,11.1111,7,7,1.0,100.0
Horsford,H001066,D,NV,0,12,0.0,-100.0,2,15,0.133333,-73.3333,1,11,0.090909,-81.8182,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,3,20,0.15,-70.0,0,20,0.0,-100.0,3,24,0.125,-75.0,2,26,0.076923,-84.6154,0,10,0.0,-100.0,4,23,0.173913,-65.2174
Houlahan,H001085,D,PA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Hoyer,H000874,D,MD,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,1,11,0.090909,-81.8182,0,19,0.0,-100.0,0,20,0.0,-100.0,2,23,0.086957,-82.6087,2,26,0.076923,-84.6154,0,10,0.0,-100.0,4,21,0.190476,-61.9048
Hudson,H001067,R,NC,10,11,0.909091,81.8182,13,15,0.866667,73.3333,10,10,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,21,24,0.875,75.0,10,10,1.0,100.0,23,23,1.0,100.0
Huffman,H001068,D,CA,0,12,0.0,-100.0,0,14,0.0,-100.0,0,11,0.0,-100.0,0,25,0.0,-100.0,0,9,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Huizenga,H001058,R,MI,8,12,0.666667,33.3333,13,15,0.866667,73.3333,10,12,0.833333,66.6667,26,27,0.962963,92.5926,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,24,24,1.0,100.0,23,26,0.884615,76.9231,10,10,1.0,100.0,23,23,1.0,100.0
Issa,I000056,R,CA,5,6,0.833333,66.6667,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,6,9,0.666667,33.3333,16,16,1.0,100.0,19,19,1.0,100.0,22,22,1.0,100.0,20,23,0.869565,73.913,8,10,0.8,60.0,19,19,1.0,100.0
Jackson,J000304,R,TX,6,6,1.0,100.0,13,13,1.0,100.0,10,10,1.0,100.0,25,25,1.0,100.0,11,11,1.0,100.0,14,14,1.0,100.0,18,18,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,10,10,1.0,100.0,20,20,1.0,100.0
Jackson Lee,J000032,D,TX,0,7,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,10,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Jacobs (CA),J000305,D,CA,0,6,0.0,-100.0,0,13,0.0,-100.0,0,10,0.0,-100.0,0,25,0.0,-100.0,0,11,0.0,-100.0,0,17,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,0,23,0.0,-100.0,0,8,0.0,-100.0,0,20,0.0,-100.0
Jacobs (NY),J000020,R,NY,1,4,0.25,-50.0,4,4,1.0,100.0,5,6,0.833333,66.6667,4,5,0.8,60.0,5,7,0.714286,42.8571,3,3,1.0,100.0,3,11,0.272727,-45.4545,5,9,0.555556,11.1111,8,16,0.5,0.0,6,9,0.666667,33.3333,4,4,1.0,100.0
Jayapal,J000298,D,WA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,1,16,0.0625,-87.5,0,20,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Jeffries,J000294,D,NY,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,0,26,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Johnson (GA),J000288,D,GA,0,12,0.0,-100.0,0,14,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,0,17,0.0,-100.0,0,20,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Johnson (LA),J000299,R,LA,9,10,0.9,80.0,13,15,0.866667,73.3333,12,12,1.0,100.0,26,26,1.0,100.0,9,9,1.0,100.0,17,17,1.0,100.0,19,19,1.0,100.0,23,23,1.0,100.0,26,26,1.0,100.0,10,10,1.0,100.0,20,20,1.0,100.0
Johnson (OH),J000292,R,OH,10,10,1.0,100.0,7,7,1.0,100.0,7,7,1.0,100.0,7,8,0.875,75.0,9,9,1.0,100.0,5,6,0.833333,66.6667,10,12,0.833333,66.6667,8,11,0.727273,45.4545,12,19,0.631579,26.3158,7,9,0.777778,55.5556,5,7,0.714286,42.8571
Johnson (SD),J000301,R,SD,11,12,0.916667,83.3333,13,15,0.866667,73.3333,12,12,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,19,20,0.95,90.0,22,22,1.0,100.0,23,24,0.958333,91.6667,24,26,0.923077,84.6154,10,10,1.0,100.0,21,23,0.913043,82.6087
Johnson (TX),J000126,D,TX,0,7,0.0,-100.0,0,5,0.0,-100.0,0,6,0.0,-100.0,0,5,0.0,-100.0,0,7,0.0,-100.0,0,4,0.0,-100.0,0,12,0.0,-100.0,0,9,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Jones,J000306,D,NY,0,1,0.0,-100.0,0,4,0.0,-100.0,0,4,0.0,-100.0,0,4,0.0,-100.0,0,7,0.0,-100.0,0,3,0.0,-100.0,0,11,0.0,-100.0,0,9,0.0,-100.0,0,16,0.0,-100.0,0,9,0.0,-100.0,0,4,0.0,-100.0
Jordan,J000289,R,OH,12,12,1.0,100.0,15,15,1.0,100.0,12,12,1.0,100.0,23,23,1.0,100.0,11,11,1.0,100.0,19,19,1.0,100.0,22,22,1.0,100.0,23,23,1.0,100.0,26,26,1.0,100.0,10,10,1.0,100.0,23,23,1.0,100.0
Joyce (OH),J000295,R,OH,7,12,0.583333,16.6667,12,15,0.8,60.0,9,12,0.75,50.0,24,27,0.888889,77.7778,8,11,0.727273,45.4545,17,20,0.85,70.0,16,22,0.727273,45.4545,21,24,0.875,75.0,18,26,0.692308,38.4615,4,10,0.4,-20.0,21,23,0.913043,82.6087
Joyce (PA),J000302,R,PA,12,12,1.0,100.0,15,15,1.0,100.0,11,11,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,20,20,1.0,100.0,23,24,0.958333,91.6667,24,26,0.923077,84.6154,10,10,1.0,100.0,23,23,1.0,100.0
Kahele,K000396,D,HI,0,1,0.0,-100.0,0,4,0.0,-100.0,0,4,0.0,-100.0,0,4,0.0,-100.0,0,7,0.0,-100.0,0,3,0.0,-100.0,0,11,0.0,-100.0,0,9,0.0,-100.0,0,16,0.0,-100.0,0,9,0.0,-100.0,0,4,0.0,-100.0
Kaptur,K000009,D,OH,0,12,0.0,-100.0,1,15,0.066667,-86.6667,0,12,0.0,-100.0,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,3,19,0.157895,-68.4211,0,20,0.0,-100.0,3,24,0.125,-75.0,2,26,0.076923,-84.6154,0,10,0.0,-100.0,6,23,0.26087,-47.8261
Katko,K000386,R,NY,0,7,0.0,-100.0,1,6,0.166667,-66.6667,4,6,0.666667,33.3333,1,6,0.166667,-66.6667,2,7,0.285714,-42.8571,0,6,0.0,-100.0,5,12,0.416667,-16.6667,2,11,0.181818,-63.6364,8,19,0.421053,-15.7895,2,9,0.222222,-55.5556,2,7,0.285714,-42.8571
Keating,K000375,D,MA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,26,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,19,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,8,0.0,-100.0,0,23,0.0,-100.0
Keller,K000395,R,PA,4,5,0.8,60.0,4,6,0.666667,33.3333,6,6,1.0,100.0,6,6,1.0,100.0,7,7,1.0,100.0,5,5,1.0,100.0,12,12,1.0,100.0,11,11,1.0,100.0,16,19,0.842105,68.4211,9,9,1.0,100.0,4,4,1.0,100.0
Kelly (IL),K000385,D,IL,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Kelly (MS),K000388,R,MS,11,12,0.916667,83.3333,11,13,0.846154,69.2308,11,11,1.0,100.0,24,24,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,22,22,1.0,100.0,26,26,1.0,100.0,10,10,1.0,100.0,22,22,1.0,100.0
Kelly (PA),K000376,R,PA,10,12,0.833333,66.6667,13,15,0.866667,73.3333,10,12,0.833333,66.6667,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,24,24,1.0,100.0,23,26,0.884615,76.9231,10,10,1.0,100.0,23,23,1.0,100.0
Khanna,K000389,D,CA,0,12,0.0,-100.0,2,15,0.133333,-73.3333,1,10,0.1,-80.0,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,18,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Kildee,K000380,D,MI,0,10,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,8,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,1,13,0.076923,-84.6154,2,21,0.095238,-80.9524,0,9,0.0,-100.0,0,9,0.0,-100.0
Kilmer,K000381,D,WA,0,10,0.0,-100.0,1,7,0.142857,-71.4286,0,7,0.0,-100.0,2,8,0.25,-50.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,1,13,0.076923,-84.6154,2,21,0.095238,-80.9524,0,9,0.0,-100.0,0,9,0.0,-100.0
Kim (CA),K000397,R,CA,5,6,0.833333,66.6667,11,13,0.846154,69.2308,10,10,1.0,100.0,22,24,0.916667,83.3333,6,11,0.545455,9.0909,17,17,1.0,100.0,20,21,0.952381,90.4762,20,22,0.909091,81.8182,18,23,0.782609,56.5217,4,8,0.5,0.0,18,20,0.9,80.0
Kim (NJ),K000394,D,NJ,0,10,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,8,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,1,12,0.083333,-83.3333,2,21,0.095238,-80.9524,0,9,0.0,-100.0,0,7,0.0,-100.0
Kind,K000188,D,WI,0,5,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,1,6,0.166667,-66.6667,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,2,11,0.181818,-63.6364,0,19,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0
Kinzinger,K000378,R,IL,4,6,0.666667,33.3333,1,5,0.2,-60.0,3,5,0.6,20.0,2,4,0.5,0.0,2,5,0.4,-20.0,2,2,1.0,100.0,4,10,0.4,-20.0,2,7,0.285714,-42.8571,6,14,0.428571,-14.2857,2,9,0.222222,-55.5556,2,5,0.4,-20.0
Kirkpatrick,K000368,D,AZ,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Krishnamoorthi,K000391,D,IL,0,12,0.0,-100.0,2,15,0.133333,-73.3333,1,12,0.083333,-83.3333,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,0,24,0.0,-100.0,0,26,0.0,-100.0,0,10,0.0,-100.0,0,23,0.0,-100.0
Kuster,K000382,D,NH,0,10,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,12,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,9,0.0,-100.0
Kustoff,K000392,R,TN,10,12,0.833333,66.6667,13,15,0.866667,73.3333,10,12,0.833333,66.6667,26,27,0.962963,92.5926,11,11,1.0,100.0,19,20,0.95,90.0,21,22,0.954545,90.9091,21,23,0.913043,82.6087,19,24,0.791667,58.3333,10,10,1.0,100.0,21,23,0.913043,82.6087
LaHood,L000585,R,IL,12,12,1.0,100.0,14,14,1.0,100.0,12,12,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,18,18,1.0,100.0,22,22,1.0,100.0,22,23,0.956522,91.3043,22,24,0.916667,83.3333,10,10,1.0,100.0,23,23,1.0,100.0
LaMalfa,L000578,R,CA,12,12,1.0,100.0,13,15,0.866667,73.3333,10,10,1.0,100.0,23,24,0.958333,91.6667,10,10,1.0,100.0,18,19,0.947368,89.4737,22,22,1.0,100.0,21,24,0.875,75.0,22,24,0.916667,83.3333,10,10,1.0,100.0,16,19,0.842105,68.4211
Lamb,L000588,D,PA,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Lamborn,L000564,R,CO,9,10,0.9,80.0,7,7,1.0,100.0,7,7,1.0,100.0,8,8,1.0,100.0,7,9,0.777778,55.5556,6,6,1.0,100.0,12,12,1.0,100.0,12,12,1.0,100.0,19,19,1.0,100.0,9,9,1.0,100.0,9,9,1.0,100.0
Langevin,L000559,D,RI,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Larsen (WA),L000560,D,WA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,2,27,0.074074,-85.1852,2,11,0.181818,-63.6364,0,20,0.0,-100.0,0,22,0.0,-100.0,2,24,0.083333,-83.3333,2,26,0.076923,-84.6154,0,10,0.0,-100.0,4,23,0.173913,-65.2174
Larson (CT),L000557,D,CT,0,12,0.0,-100.0,0,14,0.0,-100.0,0,12,0.0,-100.0,0,25,0.0,-100.0,0,11,0.0,-100.0,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,2,24,0.083333,-83.3333,0,10,0.0,-100.0,0,23,0.0,-100.0
Latta,L000566,R,OH,11,12,0.916667,83.3333,13,15,0.866667,73.3333,12,12,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,24,24,1.0,100.0,23,26,0.884615,76.9231,10,10,1.0,100.0,23,23,1.0,100.0
LaTurner,L000266,R,KS,4,4,1.0,100.0,5,5,1.0,100.0,5,5,1.0,100.0,6,6,1.0,100.0,8,9,0.888889,77.7778,3,3,1.0,100.0,11,11,1.0,100.0,10,11,0.909091,81.8182,13,18,0.722222,44.4444,7,9,0.777778,55.5556,6,6,1.0,100.0
Lawrence,L000581,D,MI,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Lawson (FL),L000586,D,FL,0,7,0.0,-100.0,0,6,0.0,-100.0,0,5,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,10,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Lee (CA),L000551,D,CA,0,10,0.0,-100.0,0,7,0.0,-100.0,0,7,0.0,-100.0,0,8,0.0,-100.0,0,9,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,13,0.0,-100.0,0,21,0.0,-100.0,0,9,0.0,-100.0,0,9,0.0,-100.0
Lee (NV),L000590,D,NV,3,12,0.25,-50.0,3,15,0.2,-60.0,1,12,0.083333,-83.3333,7,27,0.259259,-48.1481,1,11,0.090909,-81.8182,3,20,0.15,-70.0,3,22,0.136364,-72.7273,3,24,0.125,-75.0,2,26,0.076923,-84.6154,0,10,0.0,-100.0,4,23,0.173913,-65.2174
Leger Fernandez,L000273,D,NM,0,6,0.0,-100.0,0,13,0.0,-100.0,0,10,0.0,-100.0,0,25,0.0,-100.0,0,11,0.0,-100.0,0,14,0.0,-100.0,0,18,0.0,-100.0,0,22,0.0,-100.0,0,23,0.0,-100.0,0,10,0.0,-100.0,0,20,0.0,-100.0
Lesko,L000589,R,AZ,10,10,1.0,100.0,4,4,1.0,100.0,7,7,1.0,100.0,8,8,1.0,100.0,7,7,1.0,100.0,4,4,1.0,100.0,12,12,1.0,100.0,12,13,0.923077,84.6154,18,20,0.9,80.0,9,9,1.0,100.0,8,8,1.0,100.0
Letlow,L000595,R,LA,5,6,0.833333,66.6667,11,13,0.846154,69.2308,10,10,1.0,100.0,24,24,1.0,100.0,8,11,0.727273,45.4545,17,17,1.0,100.0,21,21,1.0,100.0,19,20,0.95,90.0,17,22,0.772727,54.5455,6,8,0.75,50.0,19,20,0.95,90.0
Levin (CA),L000593,D,CA,0,12,0.0,-100.0,2,15,0.133333,-73.3333,1,12,0.083333,-83.3333,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,3,20,0.15,-70.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,0,26,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Levin (MI),L000592,D,MI,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Lieu,L000582,D,CA,0,11,0.0,-100.0,2,13,0.153846,-69.2308,1,12,0.083333,-83.3333,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,0,26,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Lofgren,L000397,D,CA,0,12,0.0,-100.0,0,13,0.0,-100.0,0,11,0.0,-100.0,2,27,0.074074,-85.1852,1,11,0.090909,-81.8182,0,20,0.0,-100.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,0,26,0.0,-100.0,0,10,0.0,-100.0,2,23,0.086957,-82.6087
Long,L000576,R,MO,6,7,0.857143,71.4286,6,6,1.0,100.0,4,6,0.666667,33.3333,6,6,1.0,100.0,7,7,1.0,100.0,6,6,1.0,100.0,11,12,0.916667,83.3333,11,11,1.0,100.0,17,19,0.894737,78.9474,9,9,1.0,100.0,7,7,1.0,100.0
Loudermilk,L000583,R,GA,11,11,1.0,100.0,15,15,1.0,100.0,10,10,1.0,100.0,27,27,1.0,100.0,11,11,1.0,100.0,20,20,1.0,100.0,22,22,1.0,100.0,24,24,1.0,100.0,26,26,1.0,100.0,10,10,1.0,100.0,23,23,1.0,100.0
Lowenthal,L000579,D,CA,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Lucas,L000491,R,OK,10,12,0.833333,66.6667,13,15,0.866667,73.3333,11,11,1.0,100.0,26,26,1.0,100.0,9,11,0.818182,63.6364,17,18,0.944444,88.8889,18,19,0.947368,89.4737,21,22,0.954545,90.9091,19,26,0.730769,46.1538,10,10,1.0,100.0,21,23,0.913043,82.6087
Luetkemeyer,L000569,R,MO,9,10,0.9,80.0,5,7,0.714286,42.8571,7,7,1.0,100.0,7,8,0.875,75.0,9,9,1.0,100.0,5,6,0.833333,66.6667,11,12,0.916667,83.3333,10,12,0.833333,66.6667,14,19,0.736842,47.3684,9,9,1.0,100.0,7,9,0.777778,55.5556
Luria,L000591,D,VA,0,7,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,6,0.0,-100.0,0,7,0.0,-100.0,0,6,0.0,-100.0,0,12,0.0,-100.0,0,11,0.0,-100.0,0,19,0.0,-100.0,0,9,0.0,-100.0,0,7,0.0,-100.0
Lynch,L000562,D,MA,0,12,0.0,-100.0,0,15,0.0,-100.0,0,12,0.0,-100.0,0,27,0.0,-100.0,0,11,0.0,-100.0,3,20,0.15,-70.0,0,22,0.0,-100.0,1,24,0.041667,-91.6667,2,26,0.076923,-84.6154,0,10,0.0,-100.0,0,23,0.0,-100.0
Mace,M000194,R,SC,6,6,1.0,100.0,13,13,1.0,100.0,9,10,0.9,80.0,23,25,0.92,84.0,9,11,0.818182,63.6364,17,17,1.0,100.0,19,21,0.904762,80.9524,20,21,0.952381,90.4762,20,23,0.869565,73.913,10,10,1.0,100.0,17,18,0.944444,88.8889
