roll_call,bill_id,bill_raw,name,bioguide_id,party,state,vote,description,question,,,,,,
19,hr187,H R 187,DeLauro,D000216,D,CT,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,DelBene,D000617,D,WA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Deluzio,D000530,D,PA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,DeSaulnier,D000623,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,DesJarlais,D000616,R,TN,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Dexter,D000635,D,OR,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Diaz-Balart,D000600,R,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Dingell,D000624,D,MI,Not Voting,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Doggett,D000399,D,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Donalds,D000032,R,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Downing,D000634,R,MT,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Dunn (FL),D000628,R,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Edwards,E000246,R,NC,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Elfreth,E000301,D,MD,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Ellzey,E000071,R,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Emmer,E000294,R,MN,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Escobar,E000299,D,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Espaillat,E000297,D,NY,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Estes,E000298,R,KS,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Evans (CO),E000300,R,CO,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Evans (PA),E000296,D,PA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Ezell,E000235,R,MS,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Fallon,F000246,R,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Fedorchak,F000482,R,ND,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Feenstra,F000446,R,IA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Fields,F000110,D,LA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Figures,F000481,D,AL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Finstad,F000475,R,MN,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Fischbach,F000470,R,MN,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Fitzgerald,F000471,R,WI,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Fitzpatrick,F000466,R,PA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Fleischmann,F000459,R,TN,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Fletcher,F000468,D,TX,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Flood,F000474,R,NE,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Fong,F000480,R,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Foster,F000454,D,IL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Foushee,F000477,D,NC,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Foxx,F000450,R,NC,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,"Frankel, Lois",F000462,D,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,"Franklin, Scott",F000472,R,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Friedman,F000483,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Frost,F000476,D,FL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Fry,F000478,R,SC,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Fulcher,F000469,R,ID,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Garamendi,G000559,D,CA,Not Voting,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Garbarino,G000597,R,NY,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,Garcia (CA),G000598,D,CA,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
19,hr187,H R 187,García (IL),G000586,D,IL,Yea,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",,,,,,
